P,Ms,Rp,Sp
10.62784997,1.09,2.488548192,179.1226757
7.42608998,1.19,2.553717117,241.13
47.14840805,0.81,2.589183904,5.12
11.634788,1.08,2.020052636,129.1757391
5.44832529,0.99,2.272800635,219.12
12.718092,0.67,3.026624867,29.01472426
36.065978,0.67,3.530316187,7.228543175
25.54339981,1.02,2.868715112,84
12.1097104,1.16,2.78401534,349.19
4.75793986,1.16,1.841037209,1211.82
20.4966197,1.16,2.571530311,173.17
3.70175428,0.87,1.574487298,265.41
86.4945,0.9,2.94665311,4.29
61.6178167,0.94,3.42151469,7.022853355
4.27103091,0.94,1.376645274,291.5071257
19.67416124,1.1,2.843175857,150.3673226
5.21104261,1.1,1.992749234,883.9932243
7.76846622,0.96,1.446512943,126.2
14.12841,1.04,2.534337244,44.86472161
31.884,1.1,3.049041756,19.79
13.02365861,0.97,2.603389247,76.38
5.687945,0.94,2.294361738,254.0307149
11.637071,0.94,2.584058327,97.80667672
35.622233,1,2.814412373,19.18593903
8.23984869,1.04,3.237273635,426.7131261
19.59059906,1.07,3.521443902,52.77
60.92832271,0.95,2.981289327,10.55
25.672083,1.18,2.773578556,64.55
14.5539759,1.3,2.520356478,140.06
8.708,0.67,2.556675081,26.24
53.5293487,0.81,2.650413679,3.66
2.52400994,0.85,1.578702693,495.14
3.60694003,0.96,1.91390132,283.23
14.8334,0.99,2.820318175,54.74
70.9674603,1.17,2.57729933,8.44
8.17240047,0.94,2.945795099,127.95
8.67888593,1,2.52283131,128.55
4.02582254,1,1.767334749,357.08
2.50476003,0.92,1.317252035,828.59
5.08005848,1.41,3.425136084,1452.9
31.158799,1.1,3.290097846,32.89
76.732171,1.1,2.977924383,9.89
21.41616926,1.16,2.867959297,126.03
6.93366476,1.11,1.50005856,390.64
1.48028004,1.03,1.096398268,2597.27
6.7968502,1.05,2.318121755,222.91
11.763051,0.76,2.755591866,35.66279072
56.228098,0.76,2.513000669,4.42898396
21.81293494,0.9,3.034441751,24.34002786
4.1957798,0.88,2.1607296,283.78
1.44259224,1.58,2.785838704,10171
5.524242,0.86,2.111339992,184.1339647
9.66857723,0.99,1.693888171,60.61
23.5540725,1.6,1.908608163,516.1
56.49330139,1.44,3.660442252,18.62
25.96200249,1.43,2.9765501,87.46
40.8365012,0.94,1.53172876,12.11
14.58649607,1.1,2.615493873,130.76
10.44089985,0.94,2.605988006,111.52
4.24153639,0.98,1.460098521,371.5408124
29.91136794,0.99,2.884196501,16.82
33.1995648,0.86,2.892636121,9.91
1.34059747,1.11,1.51138826,3304.1
13.5225106,0.93,2.267855926,43.92
38.6519976,0.91,2.442117144,15.04
2.41839004,0.87,2.646719601,535.84
5.3518,0.84,1.426783375,464.9906828
6.2574,1.02,2.813839088,203.1472027
26.321,1.02,2.920638092,30.03063984
3.1190633,0.23,1.2719028,9.443382029
6.38784,0.23,1.95899256,3.630956991
1.3060011,0.64,1.662669497,246.0372376
18.718269,0.82,3.757789079,24.66115149
2.2193023,0.63,1.374036252,95.44698458
2.369172,0.92,1.794667137,596.0742372
4.32421,0.82,3.657219725,176.4011926
4.09639,0.71,1.582254502,89.31265889
12.11839,0.71,2.403617135,21.04096455
3.07133,0.46,1.29517731,33.80462868
4.86784,0.46,1.549415819,18.30064606
11.02454,0.46,1.937969012,6.152198327
10.695264,0.83,3.015256479,64.23507959
51.69906,0.73,2.633989409,3.010894398
84.8396,0.73,2.413592912,1.554995834
16.051137,0.42,2.455006525,2.660465527
37.42396,0.42,1.091337403,0.86102685
6.51389,0.38,3.210969481,7.116239158
26.8199,0.71,2.5143027,14.50778528
13.81513,0.79,1.604697419,36.57249633
9.30075,0.52,2.416215836,8.150766688
1.0697568,0.8,1.827354067,880.6413903
35.86619949,1.01,3.89433934,37.92
5.82352018,0.92,2.658083943,196.33
2.4370333,1.01,2.594414986,1825.3
40.0587473,0.93,3.277527043,13.51
22.597053,0.97,2.181391058,101.55
76.957857,0.96,3.747539044,25.76
28.474748,0.8,2.15921959,10.2535403
7.06317341,0.82,1.098898887,98.83
11.41928253,0.67,2.142539518,18.79020456
47.1611696,0.97,2.578787298,12.64130877
3.289672,0.95,1.571584845,415.43
11.66009998,1.03,1.79349455,114.36
6.24146367,1.1,1.337941795,231.43
6.49801525,1,1.751305439,301.33
19.254196,0.94,2.860608807,37.83655054
54.155743,0.94,3.032273041,9.529849217
14.02639961,1.06,2.014812047,108.07
37.054919,0.81,2.835428047,14.35445384
57.24809,0.81,3.380083583,8.037108451
14.589347,0.8,2.180147754,26.83790334
36.77031,0.8,2.774765861,7.824681481
7.626324,0.8,1.331230945,53.71
15.995622,0.8,1.151906018,19.99
34.21154,0.8,1.280120707,7.25
5.8706191,0.65,1.498767651,37.11
14.13176026,0.85,2.844697707,40.6672774
2.75235975,0.96,2.793189378,489.15
49.6221509,1.07,2.954239773,19.65919105
20.38177573,0.81,3.113554899,16.76887192
24.278553,0.76,2.32187823,8.669918187
2.3522658,0.74,1.363330041,215.051194
24.4002549,0.7,2.244227616,9.18
49.47819901,0.94,2.078110638,10.73
9.478522,1.13,2.598093881,464.77
29.96870041,1.13,3.233572475,40.76
18.207973,0.83,3.165758708,21.08
88.255055,0.83,2.665634035,2.57
13.32388301,0.7,1.967210757,17.00872537
9.576694,0.94,2.711370997,84.57
20.552802,0.94,2.675737994,30.55
96.678988,0.94,3.060169906,3.87
4.7683049,1.09,1.976667662,425.17
5.470319,1.02,1.123143079,300.98
12.758005,1.02,1.50567503,97.21
25.09849,1.02,1.526379278,39.48
55.8226539,0.87,2.262033206,4.44180909
21.38521506,0.92,2.377605479,27.22
9.7678805,0.91,2.227452446,73.59
3.38353807,0.91,1.493937476,316.72
4.311792,0.96,3.207137574,213.3687616
20.050401,0.96,2.737706341,27.49015294
12.309681,1.16,3.061461298,249.02
54.414,1.1,3.901255472,35.74
18.01160049,1.3,1.562887591,150.48
10.08740044,1.14,2.682566905,186.14
3.75574426,0.81,1.754687214,182.5966833
11.36112327,1.03,2.790175911,135.8
6.6264,0.95,2.875438392,151.49
56.7771,1.05,3.444344803,13.74
1.79111021,1.03,1.318026861,1106.85
3.25427,1.15,1.59098302,848.7
91.353282,1.15,1.665001625,9.96
17.671796,0.79,2.550086363,21.31
1.52372816,0.56,1.281259787,173.958331
13.2140732,0.81,2.888909438,33.45785188
24.58721573,0.86,3.090934857,21.69351609
10.399931,0.79,1.372460734,45.39
20.134866,0.79,2.661392657,18.81
8.70419416,0.89,3.077358823,84.41
2.46697439,0.89,1.649158592,453.65
31.805174,1.17,3.112469206,54.66
11.427548,0.82,2.592282477,119.91
23.668205,0.82,2.455406168,45.44
51.755394,0.82,2.858819631,16.01
3.6961049,0.93,1.976140832,318.9454987
10.8540774,0.93,3.216534024,75.86585272
77.611455,0.93,2.854110563,5.507295921
4.309397,0.97,2.080153219,355.4012244
37.3331536,1.1,2.620515819,69
2.60754383,0.99,3.180718576,1527.971099
5.03503,1.09,1.389947181,370.92
10.945723,1.09,2.749220345,131.49
28.986769,1.09,2.586511057,35.89
3.936981,0.88,3.395366159,206.77
7.1262,0.96,1.553993669,206.3552731
9.926746,0.94,2.972631156,105.3
21.2234,0.94,2.664522209,38.22
6.47027579,0.94,1.102523373,186.08
7.97034958,0.92,1.832521588,96.54504624
40.9903986,1.06,2.544155264,35.1973467
27.52197994,0.55,3.457768201,4.010924479
6.511127,0.95,2.612954663,134.36
23.851549,0.95,2.861627699,23.81
4.18200253,0.97,2.658938661,211.88
9.27358194,0.75,2.768943841,44.09
4.4968604,0.55,2.493033143,26.43011634
1.76678906,0.55,1.802129451,91.84707859
8.115317,0.93,2.740551065,140.1555897
36.924931,0.93,2.848550591,18.58909092
16.00460052,0.86,1.970564253,27.41
42.1917357,0.92,2.898700588,20.61070371
5.826662,0.93,3.819548827,184.34
23.2382792,1.17,2.958550812,228.22
4.028751,1.15,1.271960625,619.84
6.124821,1.15,1.544101635,353.97
8.921099,1.15,1.303156054,214.28
11.242861,1.15,1.508842323,157.48
15.955387,0.79,2.42306402,27.68
15.7738221,1.16,2.821095184,185.2
16.07677615,0.95,3.083777975,71.59021036
1.26025909,0.86,3.148875291,924.37
34.1731714,0.92,2.154521655,10.17
2.019999,0.86,1.533081378,417.24
3.763024,0.86,1.576437291,181.7
3.33616,0.84,1.807866953,216.11
20.477912,0.84,3.136426438,19.21
10.41725184,1.01,1.551695507,117.52
8.67900242,0.99,1.75963163,138.9047113
15.1410397,0.88,3.708492676,138.8485962
4.585512,1.17,2.735844556,456.73
22.714613,1.17,3.256974691,54.1
47.903645,1.17,2.651697779,20.01
9.803224,0.87,2.820340905,119.88
10.94027841,0.92,2.09973484,70.97
56.47542,0.91,2.924539604,7.11
92.876125,0.91,2.271761615,3.66
