Name,Plx,Teff,angDia,model,store,RA,DEC
TIC122450696,3.03538,5720,0.026,ck04,n,290.4406294,38.5235721
TIC122450762,2.3182,4897,0.0162,ck04,n,290.54851,38.4952415
TIC122507231,0.737585,5558,0.0061,ck04,n,290.4744875,37.7665499
TIC122515768,1.65928,4805,0.0106,ck04,n,290.6178587,37.2891002
TIC122515955,1.2857742,5418,0.0111,ck04,n,290.6822097,37.3551593
TIC122519154,1.98998,5574,0.0174,ck04,n,290.6731326,38.6910045
TIC122595516,0.552647,5608,0.0048,ck04,n,290.5767116,39.9568913
TIC122595850,0.713579,6140,0.0079,ck04,n,290.6332748,40.1369671
TIC122596334,0.921048,6167,0.0105,ck04,n,290.6685136,40.3977086
TIC122597057,1.07628,6457,0.012,ck04,n,290.6583922,40.7785383
TIC122597885,0.5278727,5282,0.0039,ck04,n,290.6079736,41.201094
TIC122605691,0.433661,6060,0.0046,ck04,n,290.8676391,38.9600779
TIC122607324,0.549575,5493,0.0044,ck04,n,290.8704935,38.2735978
TIC122673489,1.60236,5841,0.0131,ck04,n,290.7287168,37.2526575
TIC122682249,2.87055,5247,0.0216,ck04,n,291.0218899,37.7698734
TIC122682991,1.79924,5850,0.0169,ck04,n,290.8846217,38.0575539
TIC122684233,2.00331,5631,0.0179,ck04,n,291.0189951,38.5455728
TIC122706051,0.9899438,4521,0.0063,ck04,n,290.927245,39.9141166
TIC122706631,1.2072182,5838,0.012,ck04,n,290.9916648,40.2293347
TIC122707371,0.979545,5839,0.0093,ck04,n,290.9498966,40.605197
TIC122712179,3.91031,4184,0.0207,ck04,n,291.1528056,40.8876814
TIC122712446,1.31106,4985,0.009,ck04,n,291.1587635,40.7502108
TIC122712595,2.62461,5466,0.022,ck04,n,291.1481028,40.669413
TIC122713147,0.949366,5700,0.0084,ck04,n,291.1495269,40.4204569
TIC122714267,0.944664,6050,0.0107,ck04,n,291.1118647,39.9490248
TIC122716806,1.2638,5774,0.0122,ck04,n,291.0972257,38.8756049
TIC122716838,1.10016,6277,0.0119,ck04,n,291.0620355,38.8632881
TIC122780849,1.06113,6403,0.0239,ck04,n,291.0318604,38.211894
TIC122781795,0.452585,6320,0.0053,ck04,n,291.1384628,37.8592447
TIC123129877,1.75418,5211,0.0126,ck04,n,280.69092,47.8096702
TIC123129910,1.60316,5296,0.0124,ck04,n,280.6414331,47.7520581
TIC123130285,3.39447,5159,0.0253,ck04,n,280.7085829,47.3279236
TIC123201193,1.16761,5733,0.0112,ck04,n,280.8233646,42.6360518
TIC123202646,3.2413,4931,0.022,ck04,n,280.926162,44.0878036
TIC123206821,4.04785,3975,0.0192,ck04,n,281.0503476,47.1882005
TIC123230993,1.16203,5223,0.0096,ck04,n,281.0491988,43.3225996
TIC123231081,2.02658,6004,0.0205,ck04,n,281.1123072,43.2277663
TIC123231917,3.11593,4299,0.0197,ck04,n,281.1117588,42.4549698
TIC123235018,1.00392,6021,0.0106,ck04,n,281.2797173,44.3154743
TIC123309556,5.1821,4781,0.0366,ck04,n,281.1947316,47.4972606
TIC123312978,0.750671,5655,0.0063,ck04,n,281.2957984,44.4654063
TIC123313142,2.46817,5388,0.0204,ck04,n,281.3487514,44.2952525
TIC123314844,1.44005,5100,0.0104,ck04,n,281.2985305,42.6856727
TIC123316231,3.53461,5975,0.0355,ck04,n,281.5614578,42.4504087
TIC123357476,3.48098,4755,0.0233,ck04,n,281.4572217,46.7465538
TIC123357864,9.24784,4909,0.0619,ck04,n,281.4824731,47.2078263
TIC123357893,2.00386,5074,0.0145,ck04,n,281.5827983,47.2334674
TIC123358019,1.09287,6108,0.013,ck04,n,281.5699998,47.3986233
TIC123358827,1.07828,5629,0.009,ck04,n,281.6629579,47.5685927
TIC123359347,1.49476,4850,0.0101,ck04,n,281.6940529,46.946521
TIC123408693,1.76982,4651,0.0115,ck04,n,281.8983042,42.1657112
TIC123408863,0.680952,5936,0.0066,ck04,n,281.8314296,42.298891
TIC123409401,2.56925,6075,0.0296,ck04,n,281.9156128,42.7755535
TIC123415040,1.12431,5523,0.0095,ck04,n,282.1113206,42.3545514
TIC123415819,3.27176,5187,0.0243,ck04,n,282.1355875,43.0391951
TIC123416041,1.12655,5871,0.0103,ck04,n,282.2397185,43.2440854
TIC123416515,2.46907,4082,0.014,ck04,n,282.2325197,43.6655662
TIC123416753,0.738486,5438,0.0057,ck04,n,282.1405603,43.8964934
TIC123417308,1.02515,6067,0.0139,ck04,n,282.2001207,44.4222795
TIC123417850,10.3516,3359,0.0231,nextgen,n,282.2501047,44.921002
TIC123444694,3.33801,5734,0.0298,ck04,n,282.1178211,46.2239547
TIC123445166,1.65,5665,0.0183,ck04,n,282.2130447,46.7177898
TIC123447451,0.598854,5614,0.005,ck04,n,282.3635315,46.6752384
TIC123447592,0.900907,6680,0.0148,ck04,n,282.3012505,46.5161814
TIC123448077,2.16677,4828,0.0149,ck04,n,282.4229401,46.0139761
TIC123449386,0.90386,6474,0.0104,ck04,n,282.3775397,44.694569
TIC123450224,2.52874,5594,0.0306,ck04,n,282.3919451,43.8894167
TIC123451321,0.970191,5505,0.0079,ck04,n,282.3355387,42.8453417
TIC123451768,0.902722,5698,0.0081,ck04,n,282.3328312,42.4638125
TIC123490277,0.397545,5510,0.003,ck04,n,282.4391402,43.7344291
TIC123490444,2.11386,5208,0.0159,ck04,n,282.4681674,43.8899464
TIC123490545,2.49421,6136,0.0373,ck04,n,282.4922622,43.9802442
TIC123492903,0.6078561,4655,0.0039,ck04,n,282.4506927,46.3213671
TIC123497954,2.2286,4043,0.0116,ck04,n,282.7241098,44.3465098
TIC123499226,0.749224,5659,0.0066,ck04,n,282.6573891,43.1625334
TIC12421862,42.1185,3650,0.1724,ck04,n,2.2715087,-27.1217452
TIC126606859,12.37,3400,0.0518,nextgen,n,316.0969388,24.6536739
TIC12666215,5.16248,5705,0.0547,ck04,n,240.0333095,-23.1894196
TIC127530399,8.10734,4714,0.0566,ck04,n,217.6091998,-46.159516
TIC130181866,44.607,5688,0.3775,ck04,n,117.4793699,27.3631342
TIC130634730,1.48213,6351,0.0181,ck04,n,187.6314027,-1.1609171
TIC136916387,68.0818,5664,0.6712,ck04,n,230.4401147,-48.3188174
TIC137089993,1.09734,6075,0.0127,ck04,n,291.19509,40.7027352
TIC137090755,2.04769,4776,0.0139,ck04,n,291.1849503,40.3112023
TIC137096633,0.864732,6168,0.01,ck04,n,291.2451266,37.7590079
TIC137099260,5.8553,4859,0.0392,ck04,n,291.2544229,36.7434302
TIC137148674,3.12078,5098,0.0229,ck04,n,291.3647333,37.609239
TIC137149476,0.949519,5703,0.0084,ck04,n,291.4399598,37.9056293
TIC137150039,2.17012,6004,0.0226,ck04,n,291.3822988,38.1274595
TIC137150277,0.856267,5714,0.0088,ck04,n,291.423582,38.2165603
TIC137150544,0.91164,5818,0.0075,ck04,n,291.4094615,38.3400107
TIC137151294,0.588904,5982,0.0053,ck04,n,291.4314024,38.6543635
TIC137151335,10.3974,5669,0.089,ck04,n,291.4181275,38.6723124
TIC137151626,0.942406,5119,0.0073,ck04,n,291.3993802,38.7877563
TIC137154728,1.29093,6035,0.0122,ck04,n,291.4055614,40.1254254
TIC137155210,5.6095,4493,0.0318,ck04,n,291.4688524,40.3437001
TIC137212833,0.816732,5831,0.0076,ck04,n,291.6044965,41.3093275
TIC137217372,1.41892,5758,0.0141,ck04,n,291.5569554,39.2272923
TIC137219378,1.05479,5900,0.0116,ck04,n,291.6071451,38.4103192
TIC137307173,0.533539,5849,0.0052,ck04,n,291.4994412,37.0592571
TIC137315414,2.5024,3967,0.0137,ck04,n,291.7262251,37.528968
TIC137316027,3.24797,5650,0.0272,ck04,n,291.6832878,37.7514726
TIC137317096,0.8357173,5590,0.0072,ck04,n,291.6994841,38.1452065
TIC137318075,0.549145,6224,0.0057,ck04,n,291.6535379,38.4946597
TIC137336979,1.43113,5893,0.0141,ck04,n,291.6462654,39.3966122
TIC137337090,2.77183,5136,0.024,ck04,n,291.7484295,39.4467817
TIC137341066,1.62366,5293,0.0124,ck04,n,291.6408978,41.2411044
TIC137342279,1.6534,5764,0.0183,ck04,n,291.6346564,41.8338415
TIC137342400,1.13351,6346,0.0155,ck04,n,291.6467764,41.8846843
TIC137347078,1.0329,6158,0.0149,ck04,n,292.044628,37.3761861
TIC137348756,1.3779,4791,0.0095,ck04,n,292.0333777,37.9744551
TIC137348863,1.5653,5250,0.0125,ck04,n,291.9259658,38.0140525
TIC137348987,1.1452,6081,0.0135,ck04,n,291.9761559,38.0550327
TIC137349536,0.8931,5143,0.0065,ck04,n,291.9510277,38.2516419
TIC137401986,0.673536,5971,0.007,ck04,n,292.0068239,38.8207001
TIC137409501,1.1474,5896,0.0138,ck04,n,292.1868271,41.726944
TIC137409907,2.69858,5030,0.0193,ck04,n,292.1328738,41.5474786
TIC137410997,1.51014,5460,0.0117,ck04,n,292.1627933,41.0231947
TIC137411225,0.828058,5852,0.0069,ck04,n,292.1710683,40.9162381
TIC137413972,0.987298,6424,0.0137,ck04,n,292.1042198,39.7678585
TIC137414304,1.28587,5789,0.0115,ck04,n,292.1504723,39.6375254
