Source,RSTAR_dr2,RA_S,DEC_S,PLX_S,PLX_ERR_S,FLUX_U_S,FLUX_ERR_U_S,FLUX_B_S,FLUX_ERR_B_S,FLUX_V_S,FLUX_ERR_V_S,FLUX_R_S,FLUX_ERR_R_S,FLUX_G_S,FLUX_ERR_G_S,FLUX_I_S,FLUX_ERR_I_S,FLUX_J_S,FLUX_ERR_J_S,FLUX_H_S,FLUX_ERR_H_S,FLUX_K_S,FLUX_ERR_K_S,DIA_S,DIA_UNIT_S,DIST_S,DIST_UNIT_S,SOURCE_ID_2,RA_dr2,DEC_dr2,PLX_dr2,PLX_ERR_dr2,TEFF_dr2,TEFF_NEG_dr2,TEFF_POS_dr2,RSTAR_NEG_dr2,RSTAR_POS_dr2,LSTAR_dr2,LSTAR_NEG_dr2,LSTAR_POS_dr2,PLX_WAVG,PLX_ERR_WAVG,Teff_bl,Teff_bl_err,Rstar_bl,Rstar_bl_err,ang_dia_bl,ang_dia_bl_err,plx_bl,plx_bl_err,Walkers,Iterations,Burn In,Best Plx,Parallax,Parallax_err,Teff,u-(Teff),u+(Teff),u%(Teff),Teff_delta_bl,Radius,u-(Radius),u+(Radius),u%(Radius),Radius_delta_bl,scale,u-(scale),u+(scale),apprad,u-(apprad),u+(apprad),angdia,u-(angdia),u+(angdia),u%(angdia),angdia_delta_bl,Good Fit Points,Bad Points,Fit Error,Fit Quality,WL_min,WL_max,VizSed_Error,Baseln,Tau_Teff,Tau_Radius,Stored,Model,Name,Rsn,Rsn_err-,Rsn_err+,%Rsn_err-,%Rsn_err+,Runtime
TIC122065885,,289.37666335759,41.15860146471,12.8019,0.0421,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0010096613232645,3621.239091499133,3630.7805477010033,3630.7805477010033,0.0176197629403735,3554.67581984433,0.0303668610563091,3564.511335730064,0.0385478208685637,3554.67581984433,,,78.113,pc,Gaia DR2 2101449265111030912,289.3765441299474,41.158084502665695,12.647519820978284,0.070111100752571,3654.97,3300.5,4407.7876,,,,,,12.760987029393725,0.0360928787431529,3132,36.0,0.209,0.00602,0.0249,0.00072,12.6475,0.0701111,50,5000,1000,Simbad,12.8019,0.0421000011265277,3167,35,38,1.2,1.1,0.214,0.00575,0.00592,2.8,2.4,7.51e-06,0.0383,0.0394,0.00274,6.99,7.19,0.0255,0.00069,0.00071,2.8,2.4,12,3,0.2700000000000001,0.0968671045422096,0.64,11.6,None,Initial SEDmc Results,1.863,1.876,New,nextgen,TIC122065885,0.214,0.00575,0.00592,0.0268691588785046,0.0276635514018691,0 days 00:08:11.680094
TIC122066167,0.8749918,289.44455417454,41.3177714772,2.3716,0.0119,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.012034078123393,3621.5626286778,3630.7805477010033,3630.7805477010033,0.0402531791516549,3567.7958848932244,0.0581299396165803,3557.951305988067,0.0626902735357075,3561.229810356255,,,421.656,pc,Gaia DR2 2101476065707700480,289.4447519882076,41.317965159899465,2.350896201797883,0.0156017924853783,5124.1,5010.1,5487.0,0.7630786,0.7630786,0.4755247,0.46620822,0.46620822,2.363985279198517,0.009461859095956,5345,67.9,0.84,0.07,0.0184,0.0015,2.3509,0.0156018,50,5000,1000,Simbad,2.3716,0.0119000002741813,5318,97,98,1.8,-0.5,0.831,0.0217,0.0229,2.8,-1.1,3.88e-06,0.0376,0.0396,0.00197,9.54,10.1,0.0183,0.00049,0.00051,2.8,-0.5,17,25,0.11,0.0404430868967177,0.436,11.6,None,NASA,1.821,1.812,New,ck04,TIC122066167,0.831,0.0217,0.0229,0.0261131167268351,0.0275571600481347,0 days 00:09:40.582110
TIC122066280,1.01706,289.38349746026,41.39269059702,1.2071,0.0157,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0052874996416805,3621.4992534598414,3630.7805477010033,3630.7805477010033,0.0149968478281145,3561.229810356255,0.0201929591371409,3544.8674429865373,0.0222433484251842,3535.086136336924,,,828.432,pc,Gaia DR2 2101480188876308480,289.3834807439404,41.39266509365621,1.17369605692405,0.0183289620447297,5421.0,5372.0,5480.0,0.99527776,0.99527776,0.8048326,0.7697049,0.7697049,1.192963392694522,0.0119237153973384,5743,85.68,0.99,0.23,0.0108,0.0025,1.1737,0.018329,50,5000,1000,Simbad,1.2071,0.0156999994069337,5722,52,55,1.0,-0.4,0.943,0.0195,0.0204,2.2,-4.7,1.3e-06,0.0345,0.0357,0.00114,15.1,15.7,0.0106,0.00026,0.00027,2.5,-1.9,13,33,0.14,0.08040840051341,0.363,11.6,None,NASA,1.914,1.864,New,nextgen,TIC122066280,0.943,0.0195,0.0204,0.02067868504772,0.0216330858960763,0 days 00:08:39.641290
TIC122066892,1.7489198,289.39469330178,41.78234276122,2.483,0.0116,3630.7805477010033,3630.7805477010033,0.0218776123961827,2606.153515661518,0.0524807275860485,2992.264654677778,3630.7805477010033,3630.7805477010033,0.0647827684212641,3621.565964287184,3630.7805477010033,3630.7805477010033,0.1900202882403852,3571.0834606320323,0.2539803902441372,3577.667696856915,0.2698983192440491,3571.0834606320323,,,402.739,pc,Gaia DR2 2102245375949400960,289.39455232803846,41.7822597016996,2.4532044533774537,0.0277149554072419,5363.1567,5194.0,5668.5,1.5655776,1.5655776,2.2799037,2.2374637,2.2374637,2.4785584545970205,0.0107005366415951,5557,122.0,1.25,0.21,0.0285,0.0048,2.4532,0.027715,50,5000,1000,Simbad,2.483,0.0115999998524785,5353,51,56,1.0,-3.7,1.65,0.0434,0.0441,2.7,32.0,1.68e-05,0.0378,0.0384,0.0041,4.61,4.68,0.0381,0.001,0.001,2.6,33.7,29,14,0.4300000000000002,0.3242718108719781,0.35,4.6,None,NASA,1.812,1.824,New,ck04,TIC122066892,1.65,0.0434,0.0441,0.0263030303030303,0.0267272727272727,0 days 00:09:35.446313
TIC122066949,0.5307733,289.5084991925,41.81210246225,3.6178,0.0316,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0007516235278108,3597.493352298018,3630.7805477010033,3630.7805477010033,0.0016880373416042,3621.4058600553767,3630.7805477010033,3630.7805477010033,0.015191475596732,3557.951305988067,0.0281060651633342,3548.133891118337,0.0351236709017825,3551.4033491464365,661000.0,km,276.411,pc,Gaia DR2 2102244967931917184,289.5085611563486,41.81202343743976,3.5838116673299734,0.049269695885368,3772.365,3582.0,4145.99,0.4394201,0.4394201,0.051400535,0.04984402,0.04984402,3.60789376423728,0.0265992432619496,3722,29.96,0.51,0.01,0.017,0.0004,3.58381,0.0492697,50,5000,1000,Simbad,3.6178,0.031599998474121,3659,45,50,1.4,-1.7,0.541,0.022,0.0236,4.4,6.1,3.83e-06,0.0588,0.0629,0.00196,15.0,16.1,0.0182,0.00076,0.00081,4.5,7.1,12,37,0.13,0.0757715651108806,0.478,11.6,None,NASA,1.954,1.951,New,ck04,TIC122066949,0.541,0.022,0.0236,0.0406654343807763,0.04362292051756,0 days 00:08:38.471603
TIC122068161,,289.5530217869899,41.29784713072,1.9217,0.2253,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0090619042112557,3619.945232571225,3630.7805477010033,3630.7805477010033,0.0402531791516549,3557.951305988067,0.0654636381071081,3557.951305988067,0.0721107403175302,3564.511335730064,,,,,Gaia DR2 2101475241074002176,289.5530051074611,41.29785321465658,1.762279521358562,0.3628561652288532,4936.2437,4750.0,5070.5,,,,,,1.8773408842093189,0.1914052706238571,4494,50.0,1.16,0.0454,0.0207,0.0026,1.7622795,0.3628562,50,5000,1000,Simbad,1.9217,0.2252999991178512,4509,44,42,0.9,0.3,1.22,0.0285,0.0303,2.5,5.2,5.5e-06,0.169,0.169,0.00235,36.0,36.0,0.0218,0.0026,0.0026,11.9,5.3,12,32,0.16,0.0910411117749209,0.363,11.6,None,Initial SEDmc Results,1.797,1.82,New,ck04,TIC122068161,1.22,0.0285,0.0303,0.0233606557377049,0.0248360655737704,0 days 00:12:11.498304
TIC122069243,0.6066716,289.62523479553,40.70872803326,3.0153,0.0186,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0044153422265072,3621.09901274764,3630.7805477010033,3630.7805477010033,0.0233345904610427,3554.67581984433,0.0414954217585629,3554.67581984433,0.0472062974920495,3557.951305988067,,,331.642,pc,Gaia DR2 2101379205604338688,289.6252192447463,40.708735148670776,2.9874492149770404,0.0219861726214775,4454.0,4277.6772,4856.59,0.5102596,0.5102596,0.1304977,0.12795879,0.12795879,3.0036821825860933,0.0142001583168925,4290,70.0,0.71,0.03,0.0197,0.0008,2.98745,0.0219862,50,5000,1000,Simbad,3.0153,0.0186000000685453,4281,43,41,1.0,-0.2,0.703,0.0243,0.0262,3.7,-1.0,4.49e-06,0.0497,0.0534,0.00212,11.7,12.6,0.0197,0.00069,0.00074,3.8,0.0,18,27,0.11,0.0467399445793313,0.445,4.6,None,NASA,1.836,1.833,New,nextgen,TIC122069243,0.703,0.0243,0.0262,0.0345661450924608,0.0372688477951635,0 days 00:09:13.609764
TIC122070274,0.919109,289.5483934223499,40.16418205453,1.1327,0.0191,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0037881808982937,3621.535944689951,3630.7805477010033,3630.7805477010033,0.0112408743833516,3548.133891118337,0.0148456806103469,3548.133891118337,0.0156747318136694,3505.903843271686,,,882.846,pc,Gaia DR2 2101255751063996672,289.54839888151406,40.16414572182319,1.125234980739126,0.0245718857328503,5364.3335,5333.0,5521.7905,0.8674385,0.8674385,0.63021946,0.5950389,0.5950389,1.1298883662082635,0.0150800366792178,5700,77.0,1.01,0.15,0.0106,0.0016,1.12523,0.0245719,50,5000,1000,Simbad,1.1327,0.0190999992191791,5801,48,49,0.8,1.8,0.885,0.0264,0.0244,2.8,-12.4,1e-06,0.0485,0.0457,0.001,24.2,22.8,0.00932,0.00032,0.0003,3.2,-12.1,12,32,0.3600000000000002,0.2114747967284029,0.35,4.6,None,NASA,2.461,2.182,New,nextgen,TIC122070274,0.885,0.0264,0.0244,0.0298305084745762,0.0275706214689265,0 days 00:08:13.806111
TIC122136712,0.5728684,289.92071603579,41.54283271445,1.9048,0.0223,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0027341520482981,3621.505924564939,3630.7805477010033,3630.7805477010033,0.0121898912780831,3541.604001980096,0.0203985754056957,3535.086136336924,0.0244342986590124,3531.831700100824,,,524.99,pc,Gaia DR2 2101473385648356608,289.9206760255403,41.542775767991856,1.9369297424398173,0.027084889428448,4878.51,4760.0,4994.0,0.54667866,0.54667866,0.16747622,0.16164483,0.16164483,1.9177807804538427,0.0172156667482953,4700,57.52,0.7,0.03,0.0126,0.0006,1.93693,0.0270849,50,5000,1000,Simbad,1.9048,0.0222999993711709,4755,53,58,1.2,1.2,0.697,0.0149,0.0157,2.3,-0.4,1.76e-06,0.0345,0.0359,0.00133,13.0,13.5,0.0123,0.0003,0.00031,2.5,-2.4,12,29,0.14,0.0773010964990542,0.436,4.6,None,NASA,1.899,1.859,New,nextgen,TIC122136712,0.697,0.0149,0.0157,0.021377331420373,0.0225251076040172,0 days 00:09:13.934084
TIC122137575,0.6624479,289.87074310059,41.04074849697,1.4664,0.0217,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,3630.7805477010033,0.0025692084807993,3620.7455031651566,3630.7805477010033,3630.7805477010033,0.0109748877103433,3554.67581984433,0.0174260930003269,3548.133891118337,0.018030173607691,3531.831700100824,,,681.942,pc,Gaia DR2 2101410850923823488,289.87074693595065,41.04074824245168,1.4843836224988205,0.0249939418087284,5054.0,4863.0,5187.6665,0.62875015,0.62875015,0.25795215,0.24689619,0.24689619,1.474129470310896,0.016385927624454,5048,65.08,0.77,0.03,0.0106,0.0005,1.48438,0.0249939,50,5000,1000,Simbad,1.4664,0.0217000003904104,5082,118,108,2.1,0.7,0.755,0.0191,0.0205,2.7,-1.9,1.23e-06,0.0414,0.0437,0.00111,18.7,19.7,0.0103,0.0003,0.00032,3.1,-2.8,12,31,0.13,0.079258417745219,0.436,11.6,None,NASA,1.778,1.822,New,nextgen,TIC122137575,0.755,0.0191,0.0205,0.0252980132450331,0.0271523178807947,0 days 00:08:24.615188
TIC122139228,0.8007249,289.9308501779038,40.0977333481808,1.4623,0.0768,3630.7805477010033,3630.7805477010033,0.0003413502504489,3435.5794832423744,0.0012776140782443,3404.0818960756146,0.0014047529250169,3372.87309214359,0.0017389212812312,3624.766204216558,3630.7805477010033,3630.7805477010033,0.009763378890336,3548.133891118337,0.0164285780578326,3538.343565330621,0.0173780052346418,3531.831700100824,,,683.854,pc,Gaia DR2 2101146757674573568,289.9308779488463,40.097710893585976,1.4622698208388358,0.0767773116890684,4423.0,4319.6665,5232.855,0.5720577,0.5720577,0.22106968,0.19675568,0.19675568,1.462284905960268,0.0542977787774351,4647,57.14,0.71,0.02,0.0097,0.0006,1.46227,0.0767773,50,5000,1000,Baseline,1.46227,0.0767773,4592,47,54,1.2,-1.2,0.75,0.0241,0.0247,3.3,5.6,1.2e-06,0.0871,0.0877,0.0011,39.8,40.0,0.0102,0.00063,0.00063,6.2,5.2,21,21,0.17,0.0583729712099962,0.436,2.19,None,NASA,1.875,1.874,New,ck04,TIC122139228,0.75,0.0241,0.0247,0.0321333333333333,0.0329333333333333,0 days 00:09:58.161157
