HD,Teff,Teff_err,Rstar,Rstar_err,angdia,angdia_err,plx,plx_err
TIC137336979,5893,111.41,1.06,0.21,0.0141,0.0028,1.43113,0.0213619
TIC137337090,5136,121.59,0.93,0.06,0.024,0.0016,2.77183,0.016781
TIC137341066,5293,81.95,0.82,0.06,0.0124,0.0009,1.62366,0.023892
TIC137342279,5764,100,1.19,0.23,0.0183,0.0035,1.6534,0.0137963
TIC137342400,6346,79.71,1.47,0.31,0.0155,0.0033,1.13351,0.0136521
TIC137347078,6158,100,1.55,0.31,0.0149,0.003,1.0329,0.0198385
TIC137348756,4791,143,0.74,0.05,0.0095,0.0007,1.3779,0.0361997
TIC137348863,5250,257,0.86,0.23,0.0125,0.0034,1.5653,0.0183092
TIC137348987,6081,100,1.27,0.23,0.0135,0.0025,1.1452,0.0159034
TIC137349536,5143,126.73,0.78,0.04,0.0065,0.0005,0.8931,0.0422481
TIC137401986,5971,136.24,1.12,0.28,0.007,0.0018,0.673536,0.0263719
TIC137409501,5896,76.96,1.29,0.26,0.0138,0.0028,1.1474,0.0153377
TIC137409907,5030,68.38,0.77,0.04,0.0193,0.001,2.69858,0.0189679
TIC137410997,5460,200,0.83,0.41,0.0117,0.0058,1.51014,0.022405
TIC137411225,5852,200,0.9,0.42,0.0069,0.0032,0.828058,0.0257265
TIC137413972,6424,160.13,1.49,0.64,0.0137,0.0059,0.987298,0.0167264
TIC137414304,5789,46.81,0.96,0.03,0.0115,0.0004,1.28587,0.0165982
TIC137483383,5892,61.02,1.12,0.18,0.0084,0.0021,0.8039933,0.1597838
TIC137484431,5526,76.12,0.9,0.06,0.019,0.0013,2.2647,0.0167436
TIC137488218,6319,179.66,1.4,0.61,0.0134,0.0058,1.02913,0.0179092
TIC137545963,5934,95.16,1.1,0.28,0.0057,0.0015,0.558363,0.0267471
TIC137548225,5373,161.73,0.83,0.07,0.0061,0.0006,0.783987,0.0313686
TIC137548281,5796,113.94,1.01,0.23,0.006,0.0014,0.6402,0.0346561
TIC137548365,5931,161,0.86,0.23,0.0057,0.0015,0.715925,0.0257755
TIC137549134,6112,127.39,1.21,0.46,0.0084,0.0032,0.747234,0.0329257
TIC137550286,5666,146,0.99,0.25,0.0111,0.0028,1.20114,0.018639
TIC137550938,5765,121.54,0.99,0.18,0.0046,0.0009,0.494531,0.0425306
TIC137552781,5928,139.36,1.08,0.25,0.0114,0.0026,1.13365,0.0179739
TIC137555411,3974,0,0.53,0,0.0157,0.0001,3.1845,0.0257186
TIC137555923,5423,108,1.4,0.21,0.0186,0.0028,1.42803,0.0165586
TIC137556026,6123,190,0.99,0.32,0.006,0.002,0.651353,0.0313559
TIC137556197,4259,200,0.53,0.05,0.0151,0.0014,3.05373,0.0202703
TIC137556626,5400,60,0.59,0.15,0.0051,0.0013,0.930143,0.0360187
TIC137557778,6203,91.16,1.95,0.37,0.0117,0.0022,0.645076,0.0166328
TIC137558813,3240,61,0.23,0,0.0231,0.0001,10.8187,0.063723
TIC137627194,5009,74,0.84,0.03,0.0159,0.0007,2.03746,0.0606317
TIC137634395,6165,100,1.38,0.26,0.006,0.0012,0.463993,0.0311597
TIC137634508,5741,154,0.95,0.28,0.0101,0.003,1.14175,0.022748
TIC137635103,6101,90.21,2.06,0.28,0.0187,0.0026,0.975034,0.0157561
TIC137635841,5852,140,0.84,0.22,0.0147,0.0039,1.88772,0.0166316
TIC137636895,6133,100,1.33,0.24,0.0171,0.0031,1.38478,0.0205211
TIC137637249,5265,200,0.79,0.43,0.0095,0.0052,1.29686,0.0279264
TIC137638020,5806,69,0.9,0.08,0.0094,0.0009,1.11875,0.0233533
TIC137685450,6145,99,1.29,0.03,0.0299,0.0008,2.4885,0.0256571
TIC137686948,4884,69,0.75,0.02,0.0202,0.0006,2.89593,0.0167506
TIC137687477,5808,78,1.4,0.23,0.0147,0.0024,1.12892,0.0176859
TIC137689252,3683,73,0.42,0.05,0.0143,0.0017,3.66526,0.0367736
TIC137757057,5941,84.81,1.14,0.35,0.0061,0.0019,0.575366,0.028808
TIC137815803,6186,127.24,1.28,0.55,0.0098,0.0042,0.82685,0.0234998
