HD,Teff,Teff_err,Rstar,Rstar_err,angdia,angdia_err,plx,plx_err
TIC159762011,5008,192,0.79,0.08,0.0096,0.001,1.304,0.037815
TIC159763320,6129,67.94,1.36,0.27,0.0138,0.0028,1.09336,0.0164279
TIC159763595,5986,91.33,1.1,0.11,0.0119,0.0012,1.16109,0.0180649
TIC159763602,6455,175,1.5,0.42,0.0103,0.0029,0.740922,0.0175691
TIC159763612,5904,92.11,1.07,0.23,0.007,0.0015,0.707317,0.0227569
TIC159768168,5315,84.55,0.83,0.06,0.0134,0.001,1.72957,0.0196704
TIC164407908,5723,68.68,0.96,0.17,0.0101,0.0018,1.13204,0.017981
TIC164411478,4027,41.14,0.57,0.02,0.0148,0.0006,2.79009,0.0642814
TIC164413187,6074,112.24,1.16,0.35,0.0118,0.0036,1.09568,0.0203299
TIC164414655,5555,60.07,0.87,0.05,0.0198,0.0012,2.44326,0.0231195
TIC164455792,5360,66.88,0.84,0.07,0.0121,0.001,1.54567,0.0170895
TIC164456041,4103,39.35,0.6,0.02,0.0142,0.0005,2.54642,0.0330781
TIC164456891,5901,81.23,1.06,0.23,0.0089,0.0019,0.900302,0.015183
TIC164458488,4925,70,0.64,0.02,0.0196,0.0006,3.29474,0.0133684
TIC164458639,5049,45.47,0.77,0.03,0.0077,0.0004,1.07961,0.0296496
TIC164458714,6273,140,1.35,0.01,0.0847,0.0007,6.74954,0.0224382
TIC164459883,5513,166,0.82,0.19,0.0063,0.0015,0.821205,0.0361888
TIC164459949,4747,47.29,0.72,0.02,0.0115,0.0004,1.72404,0.0341575
TIC164460208,3944,150,0.48,0.03,0.0212,0.0013,4.73901,0.0210841
TIC164460347,4679,54.66,0.71,0.03,0.0191,0.0008,2.89397,0.020346
TIC164460740,5913,104.3,1.06,0.25,0.0055,0.0013,0.553261,0.0201491
TIC164464070,5918,106,1.04,0.16,0.035,0.0054,3.62163,0.0248691
TIC164522726,5390,61.74,0.84,0.07,0.0081,0.0007,1.03527,0.0285631
TIC164524311,4098,48.16,0.61,0.02,0.0123,0.0005,2.17549,0.0360522
TIC164527012,5954,71.86,1.11,0.21,0.004,0.0009,0.38296,0.0417544
TIC164527535,5351,159,0.8,0.14,0.0114,0.002,1.53046,0.0197809
TIC164527695,6481,65.36,2.55,0.35,0.0364,0.005,1.53281,0.0196583
TIC164529393,5060,63.15,0.77,0.03,0.0085,0.0004,1.19,0.0312646
TIC164552984,5871,99.55,1.04,0.23,0.007,0.0016,0.724763,0.0266344
TIC164555061,5518,61.16,0.88,0.1,0.0079,0.0009,0.961555,0.0239162
TIC164555597,3631,35.05,0.46,0.03,0.0243,0.0016,5.6912,0.0277465
TIC164556761,4433,43.73,0.67,0.02,0.0319,0.001,5.12086,0.0133955
TIC164557035,3712,33.92,0.48,0.02,0.0256,0.0011,5.73985,0.0313792
TIC164557360,4483,56.76,0.67,0.03,0.0115,0.0006,1.84175,0.0342594
TIC164557694,5850,65.89,1.1,0.15,0.0196,0.0027,1.91487,0.0213517
TIC164558338,5780,69.62,0.99,0.16,0.0043,0.0007,0.469774,0.0242681
TIC164558468,4642,41.76,0.71,0.02,0.0133,0.0004,2.0154,0.0258967
TIC164559875,6000,108,1.13,0.2,0.0142,0.0025,1.35057,0.0159126
TIC164560223,5741,54.98,0.98,0.03,0.0141,0.0005,1.54355,0.0192524
TIC164560648,5547,59.76,0.92,0.15,0.0056,0.001,0.658674,0.0386245
TIC164646534,5866,137.28,1.01,0.15,0.0103,0.0015,1.09492,0.0145642
TIC164646661,5279,104.56,0.81,0.06,0.0119,0.0009,1.58493,0.0195849
TIC164652245,5357,68,0.79,0.01,0.1147,0.0015,15.6155,0.0289903
TIC164654277,5515,51.74,0.86,0.02,0.0313,0.0008,3.91923,0.0251049
TIC164658882,5212,65.46,0.81,0.05,0.0179,0.0011,2.37958,0.0146432
TIC164670756,5301,56.01,0.82,0.06,0.0079,0.0006,1.03259,0.0261206
TIC164671623,4512,46.44,0.68,0.02,0.0127,0.0004,2.00678,0.033944
TIC164674711,5771,85.68,1,0.24,0.0101,0.0024,1.08546,0.0264868
TIC164721250,5316,106,0.8,0.08,0.0188,0.0019,2.53159,0.0133726
TIC164721759,5668,54.61,0.87,0.02,0.0209,0.0005,2.58808,0.0190233
TIC164723136,5835,73.84,1,0.19,0.0074,0.0014,0.798084,0.0186634
TIC164723619,4944,43.61,0.74,0.02,0.0263,0.0007,3.82261,0.0160741
TIC164724987,4002,33.45,0.57,0.02,0.021,0.0007,3.95819,0.023254
TIC164725204,6310,63.38,1.29,0.11,0.0214,0.0018,1.77944,0.0224224
TIC164726831,5075,53.6,0.78,0.04,0.0076,0.0005,1.0515,0.039102
TIC164726946,5699,74,1.41,0.04,0.0291,0.0009,2.21542,0.0285366
TIC164727404,5663,68.09,0.96,0.2,0.0087,0.0018,0.968895,0.0275224
TIC164727439,6089,102.4,1.13,0.23,0.0128,0.0026,1.21639,0.0384857
TIC164730843,5242,93.27,0.81,0.05,0.0112,0.0007,1.48227,0.0224692
TIC164779321,5602,155,0.9,0.21,0.006,0.0014,0.718924,0.02398
TIC164780824,5107,42.91,0.8,0.04,0.0105,0.0006,1.41042,0.0291105
TIC164781116,6179,54.41,2.17,0.13,0.0323,0.002,1.59861,0.029259
TIC164781761,4630,42.63,0.69,0.03,0.0108,0.0005,1.68501,0.0286903
TIC164784178,4821,76,0.79,0.03,0.0129,0.0005,1.74979,0.0268137
TIC164785720,6169,100,1.35,0.25,0.01,0.0019,0.798679,0.0155379
TIC164785771,5256,60.36,0.81,0.05,0.0079,0.001,1.0480214,0.1137936
TIC164786172,6020,81.21,1.07,0.13,0.0089,0.0011,0.890439,0.0164088
TIC164827658,4903,66.92,0.74,0.03,0.0109,0.0005,1.57956,0.0241801
TIC164828012,5128,100,0.78,0.06,0.0159,0.0012,2.18692,0.0152789
TIC164828023,5550,82.37,0.91,0.13,0.0085,0.0012,0.998791,0.0226094
TIC164828419,4951,74.11,0.75,0.03,0.012,0.0005,1.72319,0.0221112
TIC164830125,5820,98.79,0.99,0.16,0.0069,0.0011,0.749115,0.0204519
TIC164830162,5556,63,0.93,0.14,0.0055,0.0009,0.64124,0.0421249
TIC164830907,5093,122,0.73,0,0.0077,0.0002,1.13866,0.034186
TIC164831457,5478,82,1.05,0.15,0.0111,0.0016,1.13978,0.0191509
TIC164832454,3519,19.31,0.33,0.02,0.0309,0.0019,10.0652,0.0306335
TIC164833065,3914,119,0.51,0.02,0.014,0.0006,2.95373,0.0269816
TIC164836049,5754,66.12,1,0.26,0.0043,0.0012,0.464331,0.0343253
TIC164881786,6106,106,1.36,0.04,0.0355,0.0011,2.80577,0.0213038
TIC164883912,5388,68.87,0.84,0.07,0.0123,0.001,1.57173,0.0167035
TIC164884002,4362,0,0.58,0,0.0092,0.0002,1.69932,0.0279953
TIC164884235,6152,100,1.57,0.35,0.0542,0.0121,3.71205,0.023578
TIC164886497,5228,200,0.84,0.4,0.011,0.0053,1.41254,0.01992
TIC164886812,5810,85.52,1.05,0.12,0.0303,0.0035,3.0994,0.0206055
TIC164889945,4870,49.87,0.75,0.03,0.015,0.0006,2.14535,0.0188312
TIC164890864,5603,200,0.9,0.47,0.0047,0.0025,0.559493,0.0242258
TIC164891482,5403,58.96,0.81,0.07,0.0081,0.0007,1.08016,0.0219678
TIC164892125,4580,92,0.68,0.05,0.0142,0.0011,2.24116,0.0223801
TIC164892142,5044,49.53,0.77,0.04,0.0089,0.0006,1.23686,0.0563595
TIC164999822,5770,83,1.65,0.01,0.0371,0.0005,2.41732,0.0258469
TIC166184428,3298,75,0.33,0.01,0.1361,0.0041,44.326,0.0746882
TIC168811794,5129,153,1.78,0.91,0.0622,0.0318,3.75791,0.0174429
TIC168812474,5559,129.54,0.88,0.11,0.01,0.0013,1.22441,0.0227989
TIC168816237,6185,85.62,1.33,0.14,0.0159,0.0017,1.28382,0.0184397
TIC169078948,5135,84,0.87,0.05,0.0188,0.0011,2.32739,0.0190994
TIC169079027,5021,122,0.72,0,0.0214,0.0001,3.19368,0.0158978
TIC169081296,5690,73,1.02,0.09,0.0769,0.0068,8.10912,0.0264446
TIC169082553,4625,100,0.66,0.03,0.0162,0.0008,2.64697,0.0221984
TIC169084431,5821,100,1.11,0.21,0.0144,0.0027,1.39329,0.0190774
TIC169175503,5663,55,1.06,0.02,0.015,0.0003,1.51841,0.0151448
TIC169176157,5680,292.15,0.95,0.18,0.0065,0.0012,0.731986,0.0196201
TIC169176340,5794,78,1.22,0.2,0.0098,0.0016,0.860396,0.0207232
TIC169177842,5165,153,0.7,0.1,0.0071,0.001,1.08697,0.0365691
TIC169178161,5646,186,0.82,0.2,0.0053,0.0013,0.689873,0.0336424
TIC169180792,6177,100,1.36,0.25,0.0218,0.004,1.72356,0.0241395
TIC169457234,4303,122,0.71,0,0.012,0.0002,1.81232,0.0355176
TIC169459324,4407,93.22,0.67,0.02,0.0121,0.0005,1.94764,0.0478168
TIC169462917,4782,129,0.73,0.04,0.0324,0.0018,4.77039,0.023692
TIC169463893,5987,293.78,1.1,0.36,0.0082,0.0027,0.804672,0.0306909
TIC169465273,4687,34.09,0.61,0.01,0.0056,0.0002,0.981103,0.0332616
TIC169466684,5623,325.49,0.93,0.17,0.009,0.0017,1.04496,0.0256174
TIC169556162,5564,218.22,0.91,0.13,0.0136,0.0019,1.60244,0.0237135
TIC169557750,5595,270.58,0.91,0.15,0.0066,0.0011,0.774428,0.025311
TIC169560572,5083,152,0.84,0.08,0.0281,0.0027,3.59832,0.0151581
TIC169561256,6327,317.3,1.43,0.65,0.0087,0.004,0.656697,0.0202112
TIC169930145,5367,94,0.81,0.02,0.0129,0.0003,1.70862,0.0156192
TIC169931288,6386,341.26,1.48,0.65,0.0081,0.0036,0.585003,0.0250387
TIC169932440,5557,83,1.62,0.25,0.0091,0.0015,0.602226,0.028357
TIC170241112,4940,81.88,0.73,0.04,0.0106,0.0006,1.55935,0.0284853
TIC170251516,5998,277.89,1.11,0.33,0.0049,0.0015,0.471225,0.0261648
TIC170346081,6158,294.77,1.22,0.48,0.0087,0.0034,0.765167,0.0195275
TIC170346516,6174,173,1.1,0.36,0.007,0.0023,0.682188,0.0284281
TIC170646917,6039,97.72,1.43,0.05,0.0092,0.0094,0.692872,0.7042945
TIC170647523,5833,122,0.97,0,0.0077,0.0002,0.855436,0.0213053
TIC171029578,6112,58.03,1.99,0.06,0.0328,0.0011,1.76966,0.025714
TIC171098231,5235,99.72,0.8,0.06,0.0077,0.001,1.0401481,0.1174559
TIC171502232,5884,97.8,1.12,0.17,0.0127,0.0019,1.21994,0.0151924
TIC171585303,5877,116,1.96,0.27,0.0399,0.0055,2.18755,0.0234705
TIC171879024,5117,91.45,0.8,0.2,0.0084,0.0021,1.12405,0.0340146
TIC171882123,5194,73,0.89,0.05,0.0267,0.0015,3.23132,0.0191399
TIC171884427,5274,200,1.09,0.49,0.0174,0.0078,1.71289,0.020524
TIC171971636,5721,102,0.97,0.14,0.0332,0.0048,3.67629,0.0274254
TIC171971913,5260,74.38,0.8,0.01,0.03,0.0004,4.02624,0.0235872
TIC171972797,4522,136,0.66,0.05,0.0144,0.0011,2.34594,0.0256774
TIC172372582,5825,105,1.29,0.22,0.0264,0.0045,2.19704,0.0275146
TIC172373693,5502,200,0.68,0.36,0.0046,0.0026,0.7341165,0.1075677
TIC17307715,4258,150,0.58,0.06,0.0739,0.0077,13.7077,0.05342
TIC173103335,3844,61,0.55,0.02,0.1159,0.0042,22.661,0.0552838
TIC175194958,3712,54,0.48,0.01,0.0235,0.0007,5.25733,0.108421
TIC175233369,5161,53,0.85,0.02,0.0254,0.0006,3.217,0.030855
TIC175236511,5977,87,1.19,0.03,0.0245,0.0008,2.20973,0.0424739
TIC175261852,3385,70,0.33,0.01,0.0386,0.0012,12.5821,0.0749898
TIC175265494,4927,47,0.76,0.01,0.0373,0.0006,5.28182,0.0588946
TIC175371068,4097,40,0.63,0.01,0.0451,0.0007,7.70175,0.0264005
TIC176869982,5528,97,0.92,0.02,0.0208,0.0005,2.43294,0.02966
TIC176910179,6504,329,1.57,0.06,0.0276,0.0014,1.88953,0.0597882
TIC176938958,5424,48,0.91,0.02,0.0398,0.0011,4.7062,0.0739526
TIC178155732,6201,50,1.31,0.02,0.3808,0.0059,31.2565,0.0700252
TIC178819686,5450,60,0.9,0.01,0.0878,0.0011,10.4837,0.0495219
TIC178941218,5713,87,0.99,0.02,0.029,0.0007,3.14627,0.041498
TIC179032688,5667,58,0.93,0.01,0.0347,0.0005,4.00976,0.0383686
TIC179034327,5225,70,0.78,0.05,0.1262,0.0081,17.3935,0.0249135
TIC181804752,2960,55,0.18,0.01,0.0631,0.0035,37.7177,0.0904032
TIC18310799,4500,125,0.68,0.03,0.1066,0.0047,16.8497,0.0528994
TIC18318288,3200,75,0.26,0.01,0.0768,0.003,31.7609,0.0406214
TIC184008951,6175,183.18,1.25,0.51,0.0037,0.0015,0.314584,0.0312507
TIC184009076,5683,241.45,0.94,0.15,0.0041,0.0008,0.474351,0.0567721
TIC184009313,5772,199.71,1,0.21,0.013,0.0027,1.39278,0.0269959
TIC184014439,6161,92.38,1.72,0.35,0.0213,0.0044,1.32903,0.0534816
TIC184015535,5949,128,1.22,0.23,0.0135,0.0025,1.18532,0.0181209
TIC184015844,6541,230.55,1.63,0.65,0.0145,0.0058,0.957092,0.0178536
TIC184088195,4992,119.01,0.72,0.05,0.0069,0.0014,1.0244363,0.2026511
TIC184090767,5644,117,0.97,0.17,0.0171,0.003,1.8904,0.015455
TIC184162776,5895,200,0.94,0.45,0.0063,0.003,0.722385,0.0398307
TIC184164097,6064,123,1.06,0.44,0.0042,0.0018,0.424733,0.0301894
TIC184164411,6136,242.35,1.22,0.42,0.0074,0.0026,0.655339,0.0245353
TIC184166357,5925,156.83,1.07,0.23,0.0062,0.0014,0.626845,0.0345995
TIC184167421,6054,100,1.31,0.24,0.0163,0.003,1.3387,0.0133522
TIC184247532,6620,376,1.85,0.42,0.0208,0.0047,1.20859,0.0294909
TIC184296619,4540,100,0.68,0.02,0.0169,0.0005,2.67801,0.0210459
TIC184298883,6666,321.18,1.72,0.61,0.0101,0.0036,0.632298,0.0200634
TIC184300256,5870,204.63,1.02,0.2,0.0061,0.0012,0.647406,0.0200758
TIC184417747,5745,181,0.84,0.21,0.0072,0.0018,0.916692,0.0338526
TIC184426431,6152,173.97,1.19,0.4,0.0126,0.0042,1.13394,0.0219929
TIC184427149,6056,81,2.48,0.34,0.0205,0.0028,0.888233,0.0201645
TIC184428068,6080,245.65,1.17,0.37,0.01,0.0032,0.920716,0.0190235
TIC184469205,5570,166,0.9,0.22,0.009,0.0022,1.07678,0.0176186
TIC184471242,5843,0,1.03,0,0.0096,0.0002,1.0037,0.025227
TIC184554636,5585,175,0.97,0.24,0.0081,0.002,0.901374,0.0293561
TIC184554925,4996,82.76,0.78,0.02,0.0235,0.0006,3.23279,0.020123
TIC184556217,6074,181,1.01,0.27,0.0107,0.0029,1.1437,0.0231827
TIC184559893,6826,286.4,1.85,0.6,0.0121,0.0039,0.702119,0.017563
TIC184997417,5858,114,1.04,0.17,0.0215,0.0035,2.22233,0.0302602
TIC184998205,5918,187,0.86,0.26,0.0051,0.0016,0.641277,0.0247449
TIC185057567,5665,263.42,0.93,0.15,0.0074,0.0012,0.851055,0.0223094
TIC185062313,6297,339.05,1.39,0.62,0.0188,0.0084,1.45213,0.0169351
TIC185184560,6020,211,1.06,0.34,0.0062,0.002,0.63298,0.0320221
TIC185185751,5109,169,1.67,0.78,0.0353,0.0165,2.2734,0.0296433
TIC185335907,6312,215,1.26,0.03,0.0069,0.0004,0.584903,0.0315108
TIC185336831,6036,162,0.95,0.29,0.0104,0.0032,1.18244,0.0221065
TIC185408817,4651,100,0.7,0.03,0.0109,0.0005,1.67105,0.043739
TIC187273811,5222,48,0.81,0.01,0.0338,0.0005,4.48101,0.0363844
TIC188570847,5055,93,0.73,0.07,0.0216,0.0021,3.18378,0.0358917
TIC188589164,3384,88,0.32,0.01,0.1882,0.0059,63.224,0.0379804
TIC193641523,4600,110,0.7,0.03,0.1017,0.0044,15.6142,0.0347774
TIC195193025,3566,34,0.4,0.01,0.0206,0.0007,5.53519,0.121384
TIC195193560,5044,43,0.7,0.01,0.0283,0.0007,4.35333,0.0899408
TIC197221381,3570,63,0.39,0.02,0.0257,0.0013,7.09527,0.065856
TIC197249801,4035,52,0.59,0.01,0.0338,0.0006,6.16099,0.0248026
TIC198485881,3430,130,0.31,0.02,0.0498,0.0032,17.2748,0.0312343
TIC202426247,5752,100,0.94,0.02,0.1904,0.0041,21.7747,0.0305183
TIC203214081,3348,32,0.31,0.01,0.1032,0.0033,35.7781,0.0572949
TIC207141131,5145,50,0.77,0.02,0.1855,0.0048,25.9011,0.0244246
TIC21244210,5245,34,0.75,0.01,0.0921,0.0013,13.2015,0.0578882
TIC21276520,5368,44,0.85,0.02,0.0484,0.0012,6.12624,0.0514419
TIC212957629,3100,75,0.2,0.01,0.0335,0.0017,18.016,0.0815594
TIC21339280,6209,88,1.45,0.06,0.0371,0.0022,2.74836,0.115545
TIC219344917,4929,80,0.72,0.03,0.0982,0.0041,14.6667,0.0222215
TIC220479565,3514,70,0.4,0.01,0.0651,0.0016,17.508,0.023093
TIC22221375,5863,88,1.05,0.03,0.2135,0.0061,21.8612,0.0499485
TIC22233480,3422,81,0.37,0.02,0.1145,0.0062,33.266,0.0256476
TIC224225541,5875,100,0.88,0.04,0.082,0.0037,10.0193,0.0436361
TIC230055368,3325,75,0.38,0.02,0.0986,0.0052,27.8846,0.0980912
TIC230127302,5151,100,0.86,0.05,0.047,0.0027,5.87358,0.023198
TIC231702397,3403,100,0.33,0.01,0.0493,0.0015,16.0698,0.0555096
TIC233602827,3985,55,0.55,0.03,0.0512,0.0028,10.0156,0.0117367
TIC234994474,3800,70,0.6,0.02,0.2217,0.0074,39.7331,0.0375264
TIC235678745,3759,87,0.44,0.02,0.0975,0.0044,23.8274,0.0282397
TIC237157729,5616,77.94,0.96,0.22,0.007,0.0016,0.785395,0.0289821
TIC237157751,5526,100,1.08,0.19,0.0118,0.0021,1.17846,0.0261462
TIC237157859,5961,134.01,1.08,0.19,0.0071,0.0013,0.704679,0.0330749
TIC237188153,5473,93.16,0.87,0.03,0.0144,0.0005,1.78257,0.0147197
TIC237188565,4298,49.14,0.64,0.02,0.0182,0.0006,3.05869,0.0241748
TIC237192046,4948,85.79,0.75,0.03,0.0197,0.0008,2.81831,0.020738
TIC237222864,5198,100,0.84,0.04,0.1182,0.0056,15.1341,0.0231171
TIC239227652,5043,89.62,0.77,0.02,0.0177,0.0005,2.47725,0.0166556
TIC239229224,5642,200,0.84,0.38,0.0088,0.004,1.1294,0.0243626
TIC239229234,3903,100,0.5,0.02,0.012,0.0005,2.57123,0.0331556
TIC239236731,6050,190,1.57,0.46,0.0227,0.0066,1.55159,0.0146298
TIC239238425,5688,303.78,0.97,0.17,0.0099,0.0018,1.09766,0.0265503
TIC239273090,5516,166,0.97,0.26,0.0087,0.0024,0.965849,0.0314166
TIC239275865,3556,30.41,0.33,0.02,0.028,0.0017,9.11969,0.0341673
TIC239285770,5310,205.13,0.83,0.07,0.0132,0.0011,1.70602,0.0210694
TIC239287622,6778,324.31,1.83,0.63,0.0107,0.0037,0.630932,0.0156599
TIC239287963,6120,195,2,0.47,0.0195,0.0046,1.04785,0.017262
TIC239289191,6846,320.29,1.88,0.61,0.0189,0.0061,1.07808,0.0145477
TIC239291510,4245,85,0.64,0.03,0.0093,0.0008,1.55423,0.109656
TIC239306681,6174,83,1.3,0.03,0.0115,0.0003,0.951089,0.0162603
TIC239307743,4916,110,0.86,0.04,0.0232,0.0011,2.8972,0.0218635
TIC239309962,5730,77,1.06,0.16,0.0106,0.0016,1.07291,0.0298743
TIC240177285,4862,84.27,0.74,0.03,0.0133,0.0006,1.93214,0.0249931
TIC240178935,6171,109,1.8,0.26,0.0147,0.0021,0.876459,0.0135271
TIC240179452,5418,89.83,0.86,0.08,0.0085,0.0008,1.06253,0.0253506
TIC240183442,5485,120.85,0.85,0.09,0.0026,0.0004,0.326221,0.0380733
TIC240184288,5549,163,0.73,0.14,0.0073,0.0014,1.06892,0.0362882
TIC240219049,5052,151,0.82,0.08,0.0134,0.0013,1.75381,0.0326767
TIC240766850,4222,88.15,0.65,0.03,0.0721,0.0033,11.9265,0.0376904
TIC240968774,3810,73,0.47,0.02,0.1166,0.005,26.6793,0.0387206
TIC242961495,5441,249,0.87,0.1,0.0401,0.0046,4.95159,0.0431543
TIC242988068,3910,49,0.42,0.02,0.031,0.0015,7.9375,0.0323816
TIC243014114,4455,31,0.68,0.01,0.0631,0.001,9.9783,0.0357188
TIC243271051,6116,64.67,1.09,0.1,0.0159,0.0015,1.56498,0.0176915
TIC243271716,5233,60,0.84,0.02,0.0154,0.0004,1.96487,0.0144179
TIC243271972,5527,75.23,0.9,0.11,0.0113,0.0014,1.35273,0.0186343
TIC243272677,4893,47.74,0.75,0.02,0.0274,0.0007,3.92736,0.0127196
TIC2468648,3459,89.05,0.36,0.03,0.1204,0.01,35.9483,0.0956121
TIC250979498,5622,268,0.93,0.14,0.0369,0.0056,4.26498,0.0632312
TIC250996363,5995,94,1.56,0.15,0.0254,0.0025,1.75175,0.0470854
TIC251018878,6060,86,0.98,0.06,0.0239,0.0015,2.6188,0.0464706
TIC251848941,4316,70,0.65,0.01,0.0962,0.0015,15.9205,0.0521909
TIC254113311,4350,60,0.7,0.02,0.1116,0.0032,17.1355,0.0495743
TIC257605131,5550,56,0.88,0.03,0.0659,0.0023,8.05268,0.0249561
TIC257774438,5942,119,1.11,0.03,0.1016,0.0028,9.84127,0.0607778
TIC258202719,4668,100,0.67,0.03,0.0217,0.001,3.4785,0.0135949
TIC258203303,5923,77,1.74,0.08,0.0288,0.0014,1.78034,0.0218319
TIC258203566,5682,103.27,0.96,0.16,0.0101,0.0017,1.13114,0.0183088
TIC258348597,4861,200,0.72,0.38,0.01,0.0053,1.49163,0.0235521
TIC258349285,5653,119.66,0.94,0.14,0.0158,0.0024,1.80791,0.0162294
TIC258349590,5593,100,1.49,0.23,0.0178,0.0027,1.28244,0.0122594
TIC259168516,3225,99,0.21,0.01,0.0524,0.0025,26.8377,0.0440824
TIC259377017,3506,70,0.38,0.01,0.1571,0.0041,44.4565,0.0265906
TIC25958378,5482,248,0.76,0.09,0.0271,0.0032,3.83717,0.0440494
TIC260004324,3643,142,0.5,0.03,0.1557,0.0093,33.4805,0.0266652
TIC260647166,5660,61,0.88,0.01,0.1265,0.0015,15.4517,0.0460761
TIC261136679,6037,45,1.19,0,0.6055,0.0007,54.7052,0.067131
TIC26123781,5766,99,1.08,0.06,0.0557,0.0031,5.54366,0.0384779
TIC261257684,3770,70,0.53,0.02,0.1068,0.004,21.6681,0.0162974
TIC2621212,4491,100,0.68,0.01,0.0586,0.0009,9.27232,0.0514418
TIC262530407,3556,70,0.52,0.02,0.2151,0.0083,44.4649,0.0512046
TIC262715204,4975,95,0.79,0.02,0.0472,0.0012,6.42482,0.0476156
TIC263003176,6203,64,1.19,0.02,0.1919,0.0032,17.3368,0.0282919
TIC26416742,5411,200,0.81,0.35,0.0089,0.0039,1.1846,0.0229352
TIC26416803,6053,122.92,1.16,0.34,0.0137,0.004,1.26804,0.0178146
TIC264507945,5192,82.8,0.79,0.02,0.0233,0.0006,3.16817,0.0196719
TIC264508835,5753,141.59,0.98,0.2,0.0123,0.0025,1.35373,0.0199845
TIC264678534,5070,60,0.78,0.02,0.2562,0.0066,35.3146,0.0386907
TIC26472830,5597,92.01,0.9,0.13,0.008,0.0012,0.95603,0.0244362
TIC26473621,5890,77.37,1.11,0.38,0.0066,0.0023,0.641207,0.0235912
TIC26474039,5961,75.23,1.25,0.22,0.0191,0.0034,1.6427,0.0210147
TIC26488618,5081,166,0.77,0.1,0.009,0.0012,1.25962,0.0323181
TIC26491504,5627,75.47,0.92,0.11,0.008,0.001,0.938519,0.0202319
TIC26493559,5076,166,0.76,0.1,0.007,0.0009,0.987828,0.0297078
TIC26538999,5308,107.78,0.81,0.06,0.0077,0.0006,1.01819,0.0272632
TIC26539443,5854,200,1.09,0.55,0.0091,0.0046,0.894852,0.025091
TIC26541093,5802,73.64,1.09,0.16,0.0122,0.0018,1.20019,0.0176601
TIC26541144,5156,61.41,0.81,0.04,0.0148,0.0007,1.96771,0.0194836
TIC26541175,5557,78.69,0.9,0.11,0.0037,0.0007,0.443927,0.0572112
TIC26582909,5911,102.08,1.04,0.23,0.0077,0.0017,0.795085,0.0182304
TIC26583108,5892,85.09,1.08,0.23,0.007,0.0015,0.693832,0.0255343
TIC26583618,5545,85.54,0.89,0.12,0.0089,0.0012,1.08,0.0262949
TIC26583640,5612,82.98,0.93,0.13,0.015,0.0021,1.73031,0.018358
TIC266012991,5660,92,1.02,0.02,0.0404,0.0009,4.25418,0.049616
TIC266015990,5532,62,0.99,0.01,0.0374,0.0006,4.06029,0.0498984
TIC266017624,5060,70,0.82,0.01,0.0187,0.0003,2.45325,0.0303641
TIC266030192,5499,109,1,0.04,0.0185,0.0008,1.98627,0.0313565
TIC26656435,5831,81.81,1.02,0.21,0.0145,0.0039,1.5304883,0.2706251
TIC26656768,5933,79.13,1.22,0.19,0.0107,0.0017,0.945453,0.0170696
TIC26657021,5806,77.08,1.03,0.29,0.0056,0.0016,0.587191,0.0231351
TIC26657091,5715,62.9,0.94,0.03,0.027,0.0022,3.0892733,0.2308056
TIC26748113,5884,75,1.49,0.27,0.0147,0.0027,1.06127,0.0191285
TIC26749051,3821,76,0.49,0.03,0.0134,0.0008,2.9392,0.0275994
TIC26750065,5568,67.19,0.92,0.16,0.007,0.0013,0.821945,0.0334332
TIC26751240,6246,173,1.09,0.36,0.0046,0.0016,0.456932,0.0374426
TIC26751527,5932,89.3,1.09,0.29,0.0058,0.0016,0.573328,0.0312958
TIC26751563,5960,153,1.15,0.23,0.0179,0.0036,1.67638,0.0233787
TIC26752863,5808,84.07,1,0.18,0.0061,0.0011,0.658501,0.0260247
TIC267570002,5448,59.86,0.86,0.08,0.01,0.001,1.25259,0.0239034
TIC267570317,5403,62.18,0.85,0.07,0.0077,0.0007,0.969818,0.0253911
TIC267667295,6080,260,1.2,0.1,0.0128,0.0011,1.15007,0.014921
TIC267667467,6339,64.06,2,0.34,0.0337,0.0057,1.80906,0.0226264
TIC267669725,5178,200,0.77,0.43,0.0079,0.0044,1.10529,0.0362688
TIC267671250,5752,200,1,0.5,0.011,0.0055,1.18607,0.0208066
TIC267672183,6250,200,1.15,0.51,0.0066,0.0029,0.616601,0.0208994
TIC267673013,5763,62.32,0.99,0.03,0.0207,0.0006,2.24693,0.01226
TIC267673944,5706,131.97,0.93,0.12,0.0104,0.0013,1.19953,0.0164854
TIC267746315,6117,100,1.33,0.24,0.0125,0.0023,1.00691,0.0176159
TIC267747398,5213,65.87,0.78,0.02,0.0219,0.0006,3.01592,0.0428045
TIC267749737,6113,63.72,1.28,0.27,0.029,0.0061,2.43758,0.0334669
TIC267989336,5887,164.92,1.05,0.25,0.0062,0.0015,0.634662,0.0249126
TIC267991349,6012,121.95,1.16,0.34,0.0135,0.004,1.24877,0.0185173
TIC268057162,5302,200,0.76,0.31,0.0115,0.0047,1.62234,0.0177596
TIC268060194,3157,60,0.21,0.03,0.0153,0.0022,7.83347,0.0610546
TIC268060310,5403,200.9,0.86,0.11,0.0162,0.0021,2.02859,0.0226229
TIC26814296,6261,114.14,1.32,0.61,0.0127,0.0059,1.03612,0.0131589
TIC26814955,5413,200,0.74,0.38,0.0112,0.0058,1.62825,0.020037
TIC26815908,5908,200,0.95,0.48,0.0078,0.0039,0.880201,0.032905
